Size, Type, Time
1000000, "Built-in", 0.224571
100, "Sequential", 0.000009
100, "Parallel", 0.003161
100, "Built-in", 0.000024
1000, "Sequential", 0.000103
1000, "Parallel", 0.073747
1000, "Built-in", 0.000127
10000, "Sequential", 0.001365
10000, "Parallel", 0.262869
10000, "Built-in", 0.001477
100000, "Sequential", 0.017709
100000, "Parallel", 0.588546
100000, "Built-in", 0.018592
1000000, "Sequential", 0.210418
1000000, "Parallel", 0.102963
1000000, "Built-in", 0.231125
100, "Sequential", 0.000008
100, "Parallel", 0.003714
100, "Built-in", 0.000013
1000, "Sequential", 0.000109
1000, "Parallel", 0.035572
1000, "Built-in", 0.000126
10000, "Sequential", 0.001432
10000, "Parallel", 0.212281
10000, "Built-in", 0.001558
100000, "Sequential", 0.017687
100000, "Parallel", 0.193287
100000, "Built-in", 0.018543
1000000, "Sequential", 0.211025
1000000, "Parallel", 0.106501
1000000, "Built-in", 0.226333
100, "Sequential", 0.000008
100, "Parallel", 0.003829
100, "Built-in", 0.000012
1000, "Sequential", 0.000111
1000, "Parallel", 0.098943
1000, "Built-in", 0.000130
10000, "Sequential", 0.001557
10000, "Parallel", 0.610443
10000, "Built-in", 0.001476
100000, "Sequential", 0.017701
100000, "Parallel", 0.605978
100000, "Built-in", 0.018751
1000000, "Sequential", 0.211397
1000000, "Parallel", 0.087852
1000000, "Built-in", 0.222711
100, "Sequential", 0.000037
100, "Parallel", 0.003703
100, "Built-in", 0.000013
1000, "Sequential", 0.000119
1000, "Parallel", 0.038269
1000, "Built-in", 0.000133
10000, "Sequential", 0.001389
10000, "Parallel", 0.071162
10000, "Built-in", 0.001563
100000, "Sequential", 0.020530
100000, "Parallel", 0.084866
100000, "Built-in", 0.020260
1000000, "Sequential", 0.208070
1000000, "Parallel", 0.101036
1000000, "Built-in", 0.224685
100, "Sequential", 0.000009
100, "Parallel", 0.002577
100, "Built-in", 0.000013
1000, "Sequential", 0.000133
1000, "Parallel", 0.071219
1000, "Built-in", 0.000134
10000, "Sequential", 0.001425
10000, "Parallel", 0.279248
10000, "Built-in", 0.001409
100000, "Sequential", 0.017628
100000, "Parallel", 0.189068
100000, "Built-in", 0.018715
1000000, "Sequential", 0.208538
1000000, "Parallel", 0.133447
1000000, "Built-in", 0.221670
100, "Sequential", 0.000009
100, "Parallel", 0.003289
100, "Built-in", 0.000013
1000, "Sequential", 0.000140
1000, "Parallel", 0.028830
1000, "Built-in", 0.000132
10000, "Sequential", 0.001587
10000, "Parallel", 0.267469
10000, "Built-in", 0.001496
100000, "Sequential", 0.018182
100000, "Parallel", 0.790197
100000, "Built-in", 0.018611
1000000, "Sequential", 0.210134
1000000, "Parallel", 0.100541
1000000, "Built-in", 0.224995
100, "Sequential", 0.000009
100, "Parallel", 0.003194
100, "Built-in", 0.000013
1000, "Sequential", 0.000119
1000, "Parallel", 0.038215
1000, "Built-in", 0.000128
10000, "Sequential", 0.001548
10000, "Parallel", 0.328462
10000, "Built-in", 0.001525
100000, "Sequential", 0.020706
100000, "Parallel", 0.656388
100000, "Built-in", 0.018859
1000000, "Sequential", 0.211367
1000000, "Parallel", 0.102868
1000000, "Built-in", 0.230181
100, "Sequential", 0.000009
100, "Parallel", 0.003157
100, "Built-in", 0.000012
1000, "Sequential", 0.000116
1000, "Parallel", 0.036769
1000, "Built-in", 0.000136
10000, "Sequential", 0.001477
10000, "Parallel", 0.089982
10000, "Built-in", 0.001439
100000, "Sequential", 0.017427
100000, "Parallel", 0.501647
100000, "Built-in", 0.021729
1000000, "Sequential", 0.217777
1000000, "Parallel", 0.108836
1000000, "Built-in", 0.226929
100, "Sequential", 0.000011
100, "Parallel", 0.003776
100, "Built-in", 0.000011
1000, "Sequential", 0.000108
1000, "Parallel", 0.091510
1000, "Built-in", 0.000122
10000, "Sequential", 0.001535
10000, "Parallel", 0.324236
10000, "Built-in", 0.001565
100000, "Sequential", 0.021034
100000, "Parallel", 0.604817
100000, "Built-in", 0.018637
1000000, "Sequential", 0.221564
1000000, "Parallel", 0.097444
1000000, "Built-in", 0.225437
100, "Sequential", 0.000009
100, "Parallel", 0.003449
100, "Built-in", 0.000014
1000, "Sequential", 0.000121
1000, "Parallel", 0.011161
1000, "Built-in", 0.000129
10000, "Sequential", 0.001436
10000, "Parallel", 0.384094
10000, "Built-in", 0.001584
100000, "Sequential", 0.017418
100000, "Parallel", 0.420829
100000, "Built-in", 0.019015
1000000, "Sequential", 0.216231
1000000, "Parallel", 0.108260
1000000, "Built-in", 0.226290
100, "Sequential", 0.000009
100, "Parallel", 0.002875
100, "Built-in", 0.000012
1000, "Sequential", 0.000104
1000, "Parallel", 0.025929
1000, "Built-in", 0.000139
10000, "Sequential", 0.001428
10000, "Parallel", 0.395222
10000, "Built-in", 0.001432
100000, "Sequential", 0.018353
100000, "Parallel", 0.145980
100000, "Built-in", 0.019254
1000000, "Sequential", 0.211245
1000000, "Parallel", 0.091957
1000000, "Built-in", 0.224182
100, "Sequential", 0.000008
100, "Parallel", 0.003011
100, "Built-in", 0.000021
1000, "Sequential", 0.000109
1000, "Parallel", 0.038214
1000, "Built-in", 0.000135
10000, "Sequential", 0.001493
10000, "Parallel", 0.455933
10000, "Built-in", 0.001565
100000, "Sequential", 0.017847
100000, "Parallel", 0.595640
100000, "Built-in", 0.020964
1000000, "Sequential", 0.231640
1000000, "Parallel", 0.123903
1000000, "Built-in", 0.238008
100, "Sequential", 0.000008
100, "Parallel", 0.002519
100, "Built-in", 0.000011
1000, "Sequential", 0.000122
1000, "Parallel", 0.025659
1000, "Built-in", 0.000125
10000, "Sequential", 0.001365
10000, "Parallel", 0.472681
10000, "Built-in", 0.001738
100000, "Sequential", 0.017642
100000, "Parallel", 0.578495
100000, "Built-in", 0.018904
1000000, "Sequential", 0.235051
1000000, "Parallel", 0.103131
1000000, "Built-in", 0.228859
100, "Sequential", 0.000009
100, "Parallel", 0.003340
100, "Built-in", 0.000026
1000, "Sequential", 0.000112
1000, "Parallel", 0.017610
1000, "Built-in", 0.000208
10000, "Sequential", 0.001490
10000, "Parallel", 0.443811
10000, "Built-in", 0.001479
100000, "Sequential", 0.017586
100000, "Parallel", 0.666957
100000, "Built-in", 0.018339
1000000, "Sequential", 0.209860
1000000, "Parallel", 0.114969
1000000, "Built-in", 0.236552
100, "Sequential", 0.000008
100, "Parallel", 0.004037
100, "Built-in", 0.000012
1000, "Sequential", 0.000106
1000, "Parallel", 0.038064
1000, "Built-in", 0.000151
10000, "Sequential", 0.001480
10000, "Parallel", 0.353823
10000, "Built-in", 0.001433
100000, "Sequential", 0.020618
100000, "Parallel", 0.596844
100000, "Built-in", 0.018983
1000000, "Sequential", 0.223927
1000000, "Parallel", 0.116961
1000000, "Built-in", 0.242582
100, "Sequential", 0.000009
100, "Parallel", 0.003722
100, "Built-in", 0.000012
1000, "Sequential", 0.000108
1000, "Parallel", 0.041970
1000, "Built-in", 0.000128
10000, "Sequential", 0.001507
10000, "Parallel", 0.133801
10000, "Built-in", 0.001641
100000, "Sequential", 0.019738
100000, "Parallel", 0.540391
100000, "Built-in", 0.018383
1000000, "Sequential", 0.208825
1000000, "Parallel", 0.115925
1000000, "Built-in", 0.231021
100, "Sequential", 0.000009
100, "Parallel", 0.004287
100, "Built-in", 0.000012
1000, "Sequential", 0.000112
1000, "Parallel", 0.023282
1000, "Built-in", 0.000126
10000, "Sequential", 0.001428
10000, "Parallel", 0.437942
10000, "Built-in", 0.001530
100000, "Sequential", 0.018078
100000, "Parallel", 0.612894
100000, "Built-in", 0.019016
1000000, "Sequential", 0.243734
1000000, "Parallel", 0.100357
1000000, "Built-in", 0.239764
100, "Sequential", 0.000011
100, "Parallel", 0.004624
100, "Built-in", 0.000011
1000, "Sequential", 0.000119
1000, "Parallel", 0.039681
1000, "Built-in", 0.000128
10000, "Sequential", 0.001501
10000, "Parallel", 0.084929
10000, "Built-in", 0.001589
100000, "Sequential", 0.018353
100000, "Parallel", 0.394408
100000, "Built-in", 0.018877
1000000, "Sequential", 0.212180
1000000, "Parallel", 0.101987
1000000, "Built-in", 0.231804
100, "Sequential", 0.000010
100, "Parallel", 0.004024
100, "Built-in", 0.000024
1000, "Sequential", 0.000109
1000, "Parallel", 0.019777
1000, "Built-in", 0.000141
10000, "Sequential", 0.001385
10000, "Parallel", 0.355773
10000, "Built-in", 0.001524
100000, "Sequential", 0.018048
100000, "Parallel", 0.150582
100000, "Built-in", 0.018882
1000000, "Sequential", 0.224104
1000000, "Parallel", 0.108407
1000000, "Built-in", 0.239137
100, "Sequential", 0.000009
100, "Parallel", 0.003907
100, "Built-in", 0.000012
1000, "Sequential", 0.000106
1000, "Parallel", 0.030970
1000, "Built-in", 0.000129
10000, "Sequential", 0.001457
10000, "Parallel", 0.235816
10000, "Built-in", 0.001583
100000, "Sequential", 0.017591
100000, "Parallel", 0.735660
100000, "Built-in", 0.018948
1000000, "Sequential", 0.225371
1000000, "Parallel", 0.116812
1000000, "Built-in", 0.223943
100, "Sequential", 0.000009
100, "Parallel", 0.003893
100, "Built-in", 0.000012
1000, "Sequential", 0.000104
1000, "Parallel", 0.036599
1000, "Built-in", 0.000142
10000, "Sequential", 0.001342
10000, "Parallel", 0.138093
10000, "Built-in", 0.001513
100000, "Sequential", 0.017268
100000, "Parallel", 0.643483
100000, "Built-in", 0.018915
1000000, "Sequential", 0.217695
1000000, "Parallel", 0.108289
1000000, "Built-in", 0.222388
100, "Sequential", 0.000010
100, "Parallel", 0.003731
100, "Built-in", 0.000012
1000, "Sequential", 0.000121
1000, "Parallel", 0.027263
1000, "Built-in", 0.000126
10000, "Sequential", 0.001434
10000, "Parallel", 0.088315
10000, "Built-in", 0.001529
100000, "Sequential", 0.017461
100000, "Parallel", 0.414765
100000, "Built-in", 0.019171
1000000, "Sequential", 0.212015
1000000, "Parallel", 0.118428
1000000, "Built-in", 0.234534
100, "Sequential", 0.000008
100, "Parallel", 0.003746
100, "Built-in", 0.000029
1000, "Sequential", 0.000105
1000, "Parallel", 0.018468
1000, "Built-in", 0.000128
10000, "Sequential", 0.001438
10000, "Parallel", 0.344080
10000, "Built-in", 0.001605
100000, "Sequential", 0.019973
100000, "Parallel", 0.459881
100000, "Built-in", 0.018576
1000000, "Sequential", 0.208047
1000000, "Parallel", 0.160754
1000000, "Built-in", 0.238760
100, "Sequential", 0.000009
100, "Parallel", 0.003503
100, "Built-in", 0.000025
1000, "Sequential", 0.000130
1000, "Parallel", 0.040000
1000, "Built-in", 0.000130
10000, "Sequential", 0.001512
10000, "Parallel", 0.476956
10000, "Built-in", 0.001581
100000, "Sequential", 0.019262
100000, "Parallel", 0.700435
100000, "Built-in", 0.019450
1000000, "Sequential", 0.214734
1000000, "Parallel", 0.103931
1000000, "Built-in", 0.231652
100, "Sequential", 0.000008
100, "Parallel", 0.003423
100, "Built-in", 0.000013
1000, "Sequential", 0.000117
1000, "Parallel", 0.017113
1000, "Built-in", 0.000171
10000, "Sequential", 0.001412
10000, "Parallel", 0.426442
10000, "Built-in", 0.001547
100000, "Sequential", 0.017095
100000, "Parallel", 0.732996
100000, "Built-in", 0.018654
1000000, "Sequential", 0.210167
1000000, "Parallel", 0.112317
1000000, "Built-in", 0.226600
